last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	participation	weekly %	midterm	Final	Adjusted Final	Total	Grade
1288	10	15	20	19	19	19	20	19	20	97.58%	99	99	107	101.63	4.0
0464	10	15	20	20	20	20	20	19	20	99.39%	99	94	102	100.36	4.0
4564	10	15	20	20	20	20	19	19	20	98.79%	96	96	104	100.32	4.0
5656	9	15	20	20	20	20	20	18	20	98.18%	99	94	102	99.87	4.0
5655	9	15	20	20	18	20	20	17	20	96.36%	100	95	103	99.75	4.0
5615	9	15	20	20	19	20	19	20	20	98.18%	99	93	101	99.47	4.0
2412	9	15	20	20	20	19	20	20	20	98.79%	88	97	105	99.12	4.0
0899	9	15	20	20	20	20	20	19	20	98.79%	98	92	100	99.12	4.0
6410	8	15	20	20	20	20	20	20	20	98.79%	98	92	100	99.12	4.0
1849	8	15	20	20	18	20	20	20	20	97.58%	98	93	101	99.03	4.0
4029	9	15	20	20	19	20	19	20	20	98.18%	100	91	99	98.87	4.0
3282	9	15	20	20	20	20	18	19	20	97.58%	97	93	101	98.83	4.0
3568	10	14	18	19	19	20	20	20	20	96.97%	96	93	101	98.39	4.0
4619	9	15	18	20	19	10	20	19	20	90.91%	100	97	105	98.36	4.0
7454	10	15	20	20	20	20	20	19	20	99.39%	99	88	96	97.96	4.0
0172	6	15	18	17	17	20	20	19	20	92.12%	95	96	104	97.45	4.0
9503	7	14	20	20	20	20	20	20	20	97.58%	99	88	96	97.23	4.0
1770	6	15	19	20	20	20	17	18	20	93.94%	94	93	101	96.78	4.0
2198	9	14	20	20	20	20	20	18	20	97.58%	87	92	100	96.43	3.9
4479	9	14	20	20	20	20	18	19	20	96.97%	95	88	96	96.19	3.9
7269	9	15	20	20	18	19	20	20	20	97.58%	89	90	98	96.03	3.9
2575	9	15	20	20	20	20	20	20	20	99.39%	91	87	95	95.96	3.9
1691	9	15	20	20	17	20	19	18	20	95.76%	96	88	96	95.90	3.9
9220	9	15	20	20	19	20	19	19	20	97.58%	94	87	95	95.83	3.9
0090	10	15	20	19	19	20	20	18	20	97.58%	99	84	92	95.63	3.9
1452	9	15	20	16	17	20	18	18	20	92.73%	88	94	102	95.49	3.9
5561	9	15	20	20	20	20	20	20	20	99.39%	94	84	92	95.36	3.9
2050	10	15	18	19	18	20	18	20	20	95.76%	98	84	92	94.70	3.9
2038	10	15	20	20	20	20	10	20	20	93.94%	95	87	95	94.58	3.9
7831	9	15	20	17	17	20	19	17	20	93.33%	82	94	102	94.53	3.9
1142	9	15	20	20	17	20	20	17	20	95.76%	81	92	100	94.50	3.9
1365	9	15	20	19	19	20	20	19	20	97.58%	95	83	91	94.43	3.9
2927	9	15	18	20	16	20	20	16	20	93.33%	87	91	99	94.33	3.9
1206	9	15	20	20	18	20	19	17	20	95.76%	96	84	92	94.30	3.9
3564	9	14	20	20	20	20	20	19	20	98.18%	89	85	93	94.27	3.9
0216	10	15	20	20	17	20	18	19	20	96.36%	99	81	89	93.95	3.8
0430	8	14	20	20	19	20	19	19	20	96.36%	79	91	99	93.95	3.8
0056	10	14	20	20	19	20	20	19	15	95.15%	93	85	93	93.86	3.8
1195	9	15	18	20	20	20	19	20	20	97.58%	80	89	97	93.83	3.8
1431	10	15	20	20	18	18	15	20	20	94.55%	92	86	94	93.82	3.8
6674	9	15	18	17	20	20	19	18	20	94.55%	91	86	94	93.62	3.8
2415	9	15	20	20	18	20	18	15	20	93.94%	90	87	95	93.58	3.8
8751	10	15	20	20	20	20	20	19	20	99.39%	89	82	90	93.56	3.8
1491	9	15	20	20	19	19	19	18	20	96.36%	85	87	95	93.55	3.8
3838	9	13	20	20	20	20	20	19	20	97.58%	94	81	89	93.43	3.8
1075	8	15	16	16	15	20	16	15	20	85.45%	94	93	101	93.38	3.8
1298	10	15	20	20	20	20	20	19	20	99.39%	90	81	89	93.36	3.8
5591	10	14	19	17	19	20	20	20	15	93.33%	90	87	95	93.33	3.8
